"file","light","treatment","opsin","spikes","cell","recording","index","uw_mm2","intensity_mv","rel_uw_mm2","treatment2","delta_t_rheo_s","pa_injection_start_s","rheo_s"
"","635nm","intensity_curve","tp184",NA,12,1,60,0,NA,1,"",NA,NA,NA
"18102022_TP184_hippo_cover1_cell1_0002","635nm","intensity_curve","tp184",6,12,1,60,1.221255034,96,1,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell1_0002","635nm","intensity_curve","tp184",2,12,1,60,3.351955307,98,0.333333333,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell1_0002","635nm","intensity_curve","tp184",0,12,1,60,4.391321294,100,0,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell1_0002","635nm","intensity_curve","tp184",1,12,1,60,4.495257893,102,0.166666667,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell1_0002","635nm","intensity_curve","tp184",0,12,1,60,4.72911524,104,0,NA,NA,NA,NA
"1_18102022_TP184_hippo_cover1_cell2_0001","550nm","ramp_no_light","tp184",6,13,1,61,0,NA,1,"continuous",0.11925,0.32,0.43925
"1_18102022_TP184_hippo_cover1_cell2_0002","550nm","ramp_550nm_continuous","tp184",0,13,1,61,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"1_18102022_TP184_hippo_cover1_cell2_0003","635nm","ramp_no_light","tp184",5,13,1,62,0,NA,1,"continuous",0.14391,0.32,0.46391
"1_18102022_TP184_hippo_cover1_cell2_0004","635nm","ramp_635nm_continuous","tp184",0,13,1,62,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"1_18102022_TP184_hippo_cover1_cell2_0005","550nm","ramp_no_light","tp184",5,13,1,63,0,NA,1,"pulse",0.15922,0.32,0.47922
"1_18102022_TP184_hippo_cover1_cell2_0006","550nm","ramp_550nm_pulse","tp184",0,13,1,63,259.8414967,5000,0,"pulse",0.5,0.32,0.82
"1_18102022_TP184_hippo_cover1_cell2_0007","635nm","ramp_no_light","tp184",5,13,1,64,0,NA,1,"pulse",0.1486,0.32,0.4686
"1_18102022_TP184_hippo_cover1_cell2_0008","635nm","ramp_635nm_pulse","tp184",0,13,1,64,103.9365987,5000,0,"pulse",0.5,0.32,0.82
"","550nm","intensity_curve","tp184",NA,13,1,65,0,NA,1,"",NA,NA,NA
"18102022_TP184_hippo_cover1_cell2_0001","550nm","intensity_curve","tp184",2,13,1,65,0.004677147,50,1,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell2_0001","550nm","intensity_curve","tp184",0,13,1,65,0.179290633,51,0,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell2_0001","550nm","intensity_curve","tp184",0,13,1,65,2.858256464,52,0,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell2_0001","550nm","intensity_curve","tp184",0,13,1,65,7.119657009,53,0,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell2_0001","550nm","intensity_curve","tp184",0,13,1,65,11.69286735,54,0,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell2_0001","550nm","intensity_curve","tp184",0,13,1,65,15.01883851,55,0,NA,NA,NA,NA
